shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
B10173,10001,40.578199,-73.939761
B10173,10002,40.578252,-73.939799
B10173,10003,40.578352,-73.939819
B10173,10004,40.578329,-73.940025
B10173,20001,40.578329,-73.940025
B10173,20002,40.578252,-73.940719
B10173,20003,40.578142,-73.941669
B10173,20004,40.578042,-73.942579
B10173,20005,40.577996,-73.943016
B10173,30001,40.577996,-73.943016
B10173,30002,40.577942,-73.943529
B10173,30003,40.577912,-73.943769
B10173,30004,40.577842,-73.944479
B10173,30005,40.577824,-73.944625
B10173,40001,40.577824,-73.944625
B10173,40002,40.577792,-73.944889
B10173,40003,40.577742,-73.945369
B10173,40004,40.577644,-73.946185
B10173,50001,40.577644,-73.946185
B10173,50002,40.577632,-73.946289
B10173,50003,40.577522,-73.947269
B10173,50004,40.577422,-73.948259
B10173,50005,40.577312,-73.949189
B10173,50006,40.577277,-73.949539
B10173,60001,40.577277,-73.949539
B10173,60002,40.577222,-73.950099
B10173,60003,40.577122,-73.951009
B10173,60004,40.577085,-73.951378
B10173,70001,40.577085,-73.951378
B10173,70002,40.577032,-73.951919
B10173,70003,40.576938,-73.952711
B10173,80001,40.576938,-73.952711
B10173,80002,40.576932,-73.952759
B10173,80003,40.576872,-73.952889
B10173,80004,40.576752,-73.953559
B10173,80005,40.577412,-73.953699
B10173,80006,40.577442,-73.953739
B10173,80007,40.577402,-73.953999
B10173,80008,40.577344,-73.954377
B10173,90001,40.577344,-73.954377
B10173,90002,40.577322,-73.954519
B10173,90003,40.577322,-73.954659
B10173,90004,40.577352,-73.954799
B10173,90005,40.577482,-73.955219
B10173,90006,40.577662,-73.955789
B10173,90007,40.577742,-73.956029
B10173,90008,40.577863,-73.956429
B10173,100001,40.577863,-73.956429
B10173,100002,40.577932,-73.956659
B10173,100003,40.577992,-73.956879
B10173,100004,40.578002,-73.956919
B10173,100005,40.578242,-73.957769
B10173,100006,40.578262,-73.957979
B10173,100007,40.578252,-73.958159
B10173,100008,40.578252,-73.958173
B10173,110001,40.578252,-73.958173
B10173,110002,40.578252,-73.958259
B10173,110003,40.578182,-73.958709
B10173,110004,40.578122,-73.958959
B10173,110005,40.578102,-73.959039
B10173,110006,40.577962,-73.959629
B10173,110007,40.578012,-73.959909
B10173,110008,40.577912,-73.960222
B10173,120001,40.577912,-73.960222
B10173,120002,40.577802,-73.960569
B10173,120003,40.577602,-73.961469
B10173,120004,40.577402,-73.962389
B10173,120005,40.577314,-73.962804
B10173,130001,40.577314,-73.962804
B10173,130002,40.577212,-73.963289
B10173,130003,40.577022,-73.964189
B10173,130004,40.576942,-73.964569
B10173,140001,40.576942,-73.964569
B10173,140002,40.576832,-73.965089
B10173,140003,40.576732,-73.965539
B10173,140004,40.576652,-73.965879
B10173,140005,40.576560,-73.966328
B10173,150001,40.576560,-73.966328
B10173,150002,40.576542,-73.966419
B10173,150003,40.576392,-73.967179
B10173,150004,40.576352,-73.967379
B10173,150005,40.576347,-73.967427
B10173,160001,40.576347,-73.967427
B10173,160002,40.576302,-73.967909
B10173,160003,40.576292,-73.968259
B10173,160004,40.576312,-73.968529
B10173,160005,40.576972,-73.968399
B10173,160006,40.577572,-73.968279
B10173,160007,40.578442,-73.968059
B10173,160008,40.578542,-73.968039
B10173,160009,40.578759,-73.967984
B10173,170001,40.578759,-73.967984
B10173,170002,40.579702,-73.967749
B10173,170003,40.580172,-73.967649
B10173,170004,40.580226,-73.967641
B10173,180001,40.580226,-73.967641
B10173,180002,40.580242,-73.967639
B10173,180003,40.580352,-73.967619
B10173,180004,40.580892,-73.967469
B10173,180005,40.581425,-73.967326
B10173,190001,40.581425,-73.967326
B10173,190002,40.581492,-73.967309
B10173,190003,40.581542,-73.967299
B10173,190004,40.582522,-73.967079
B10173,190005,40.583352,-73.966889
B10173,190006,40.583922,-73.966779
B10173,190007,40.584022,-73.966759
B10173,190008,40.584542,-73.966619
B10173,190009,40.585312,-73.966449
B10173,190010,40.585494,-73.966412
B10173,200001,40.585494,-73.966412
B10173,200002,40.585802,-73.966349
B10173,200003,40.586042,-73.966299
B10173,200004,40.586642,-73.966159
B10173,200005,40.588872,-73.965599
B10173,200006,40.591092,-73.965099
B10173,200007,40.591052,-73.965419
B10173,200008,40.591007,-73.965783
B10173,210001,40.591007,-73.965783
B10173,210002,40.590922,-73.966489
B10173,210003,40.590822,-73.967449
B10173,210004,40.590732,-73.968369
B10173,210005,40.590689,-73.968768
B10173,220001,40.590689,-73.968768
B10173,220002,40.590632,-73.969299
B10173,220003,40.590542,-73.970119
B10173,220004,40.590532,-73.970229
B10173,220005,40.590490,-73.970617
B10173,230001,40.590490,-73.970617
B10173,230002,40.590432,-73.971149
B10173,230003,40.590332,-73.972089
B10173,230004,40.590270,-73.972591
B10173,240001,40.590270,-73.972591
B10173,240002,40.590222,-73.972979
B10173,240003,40.590114,-73.973987
B10173,250001,40.590114,-73.973987
B10173,250002,40.590112,-73.974009
B10173,250003,40.590102,-73.974089
B10173,250004,40.590102,-73.974139
B10173,250005,40.590092,-73.974209
B10173,250006,40.590232,-73.974479
B10173,250007,40.590642,-73.975159
B10173,250008,40.590982,-73.975719
B10173,250009,40.591032,-73.975799
B10173,250010,40.591261,-73.976181
B10173,260001,40.591261,-73.976181
B10173,260002,40.591452,-73.976499
B10173,260003,40.591922,-73.977269
B10173,260004,40.591952,-73.977319
B10173,260005,40.592182,-73.977689
B10173,260006,40.592376,-73.978038
B10173,270001,40.592376,-73.978038
B10173,270002,40.592432,-73.978139
B10173,270003,40.592472,-73.978209
B10173,270004,40.592512,-73.978269
B10173,270005,40.592632,-73.978469
B10173,270006,40.592662,-73.978519
B10173,270007,40.592832,-73.978789
B10173,270008,40.593552,-73.979949
B10173,270009,40.593760,-73.980305
B10173,280001,40.593760,-73.980305
B10173,280002,40.593972,-73.980669
B10173,280003,40.594122,-73.980909
B10173,280004,40.594792,-73.982009
B10173,280005,40.595056,-73.982441
B10173,290001,40.595056,-73.982441
B10173,290002,40.595422,-73.983039
B10173,290003,40.595686,-73.983468
B10173,300001,40.595686,-73.983468
B10173,300002,40.595822,-73.983689
B10173,300003,40.596052,-73.984119
B10173,300004,40.596742,-73.985246
B10173,310001,40.596742,-73.985246
B10173,310002,40.596762,-73.985279
B10173,310003,40.596882,-73.985479
B10173,310004,40.597062,-73.985789
B10173,310005,40.597462,-73.986449
B10173,310006,40.597845,-73.987085
B10173,320001,40.597845,-73.987085
B10173,320002,40.597902,-73.987179
B10173,320003,40.598362,-73.987939
B10173,320004,40.598802,-73.988679
B10173,320005,40.599160,-73.989278
B10173,330001,40.599160,-73.989278
B10173,330002,40.599232,-73.989399
B10173,330003,40.599682,-73.990149
B10173,330004,40.600122,-73.990869
B10173,330005,40.600302,-73.991179
B10173,330006,40.600473,-73.991473
B10173,340001,40.600473,-73.991473
B10173,340002,40.600552,-73.991609
B10173,340003,40.601002,-73.992349
B10173,340004,40.601432,-73.993059
B10173,340005,40.601833,-73.993689
B10173,350001,40.601833,-73.993689
B10173,350002,40.601922,-73.993829
B10173,350003,40.602372,-73.994579
B10173,350004,40.602812,-73.995319
B10173,350005,40.603192,-73.995954
B10173,360001,40.603192,-73.995954
B10173,360002,40.603242,-73.996039
B10173,360003,40.603692,-73.996789
B10173,360004,40.604142,-73.997509
B10173,360005,40.604529,-73.998136
B10173,370001,40.604529,-73.998136
B10173,370002,40.604592,-73.998239
B10173,370003,40.605062,-73.999019
B10173,370004,40.605482,-73.999709
B10173,370005,40.605859,-74.000340
B10173,380001,40.605859,-74.000340
B10173,380002,40.605912,-74.000429
B10173,380003,40.606214,-74.000940
B10173,390001,40.606214,-74.000940
B10173,390002,40.606362,-74.001189
B10173,390003,40.606582,-74.001559
B10173,390004,40.606802,-74.001909
B10173,390005,40.606902,-74.002069
B10173,390006,40.607122,-74.002429
B10173,390007,40.607252,-74.002629
B10173,390008,40.607663,-74.003323
B10173,400001,40.607663,-74.003323
B10173,400002,40.607702,-74.003389
B10173,400003,40.608132,-74.004109
B10173,400004,40.608592,-74.004829
B10173,400005,40.608806,-74.005184
B10173,410001,40.608806,-74.005184
B10173,410002,40.608882,-74.005309
B10173,410003,40.609092,-74.005659
B10173,410004,40.609592,-74.006479
B10173,410005,40.610092,-74.007259
B10173,410006,40.610552,-74.008019
B10173,410007,40.610822,-74.008499
B10173,410008,40.610972,-74.008759
B10173,410009,40.611062,-74.008919
B10173,410010,40.611402,-74.009499
B10173,410011,40.611644,-74.009895
B10173,420001,40.611644,-74.009895
B10173,420002,40.611762,-74.010089
B10173,420003,40.611842,-74.010229
B10173,420004,40.612272,-74.010939
B10173,420005,40.612752,-74.011719
B10173,420006,40.613190,-74.012444
B10173,430001,40.613190,-74.012444
B10173,430002,40.614001,-74.013788
B10173,440001,40.614001,-74.013788
B10173,440002,40.614062,-74.013889
B10173,440003,40.615402,-74.016109
B10173,440004,40.615604,-74.016444
B10173,450001,40.615604,-74.016444
B10173,450002,40.616732,-74.018319
B10173,450003,40.616928,-74.018645
B10173,460001,40.616928,-74.018645
B10173,460002,40.617612,-74.019779
B10173,460003,40.618052,-74.020519
B10173,460004,40.618462,-74.021219
B10173,460005,40.618710,-74.021614
B10173,470001,40.618710,-74.021614
B10173,470002,40.618952,-74.021999
B10173,470003,40.619192,-74.022399
B10173,470004,40.619402,-74.022749
B10173,470005,40.619472,-74.022879
B10173,470006,40.619672,-74.023209
B10173,470007,40.619712,-74.023279
B10173,470008,40.619752,-74.023339
B10173,470009,40.619932,-74.023629
B10173,470010,40.620212,-74.024099
B10173,470011,40.620422,-74.024439
B10173,470012,40.620660,-74.024848
B10173,480001,40.620660,-74.024848
B10173,480002,40.620962,-74.025369
B10173,480003,40.621482,-74.026219
B10173,480004,40.621382,-74.026305
